Company,Year,Total Revenue ($B),Net Income ($B),Total Assets ($B),Total Liabilities ($B),Cash Flow from Operating Activities ($B),Net Income Growth (%),Revenue Growth (%),Assets Growth (%),Liabilities Growth (%),Cash Flow Growth (%),Debt-to-Assets Ratio (%),Net Income to Revenue Ratio (%),Cash Flow to Revenue Ratio (%),Return on Assets (ROA) (%),Return on Equity (ROE) (%),3-Year Avg Revenue,3-Year Avg Net Income,Revenue Surge Flag,Net Income Drop Flag
Microsoft,2023,211.0,72.7,411.0,191.8,89.0,,,,,,46.666666666666664,34.45497630331754,42.18009478672986,17.688564476885645,33.166058394160586,,,False,False
Microsoft,2022,198.3,61.3,364.8,176.1,87.6,-15.680880330123802,-6.018957345971554,-11.240875912408754,-8.185610010427535,-1.573033707865179,48.273026315789465,30.912758446797778,44.17549167927382,16.803728070175435,32.485426603073655,,,False,True
Microsoft,2021,168.1,61.3,333.8,191.8,76.7,0.0,-15.229450327786187,-8.497807017543856,8.915388983532102,-12.44292237442921,57.45955662073098,36.466389054134446,45.62760261748959,18.364289994008388,43.16901408450704,192.46666666666667,65.10000000000001,False,False
Microsoft,2020,143.0,44.3,301.3,172.4,68.0,-27.73246329526917,-14.931588340273638,-9.736369083283403,-10.114702815432741,-11.342894393741854,57.2187188848324,30.979020979020977,47.55244755244755,14.702953866578161,34.36772692009309,169.79999999999998,55.633333333333326,False,True
Microsoft,2019,125.8,39.2,286.6,158.9,60.0,-11.512415349887117,-12.027972027972034,-4.878858280783271,-7.830626450116007,-11.764705882352944,55.44312630844382,31.16057233704293,47.69475357710652,13.677599441730633,30.696945967110413,145.63333333333333,48.26666666666667,False,True
Microsoft,2018,110.4,33.0,271.2,149.7,52.3,-15.816326530612246,-12.241653418123999,-5.3733426378227644,-5.789804908747653,-12.833333333333341,55.19911504424778,29.891304347826086,47.373188405797094,12.168141592920355,27.160493827160494,126.39999999999999,38.833333333333336,False,True
Microsoft,2017,96.0,25.5,259.4,140.3,45.2,-22.72727272727273,-13.043478260869568,-4.351032448377589,-6.279225116900456,-13.575525812619492,54.0863531225906,26.5625,47.083333333333336,9.830377794911335,21.41057934508817,110.73333333333333,32.56666666666667,False,True
Tesla,2023,81.5,12.6,94.0,30.5,14.7,,,,,,32.4468085106383,15.460122699386503,18.036809815950917,13.404255319148936,19.84251968503937,,,False,False
Tesla,2022,53.8,5.5,62.1,27.1,11.5,-56.34920634920635,-33.987730061349694,-33.93617021276596,-11.147540983606552,-21.76870748299319,43.63929146537842,10.223048327137548,21.375464684014872,8.856682769726248,15.714285714285714,,,False,True
Tesla,2021,31.5,3.5,52.1,25.7,5.9,-36.36363636363637,-41.449814126394045,-16.103059581320455,-5.166051660516613,-48.69565217391304,49.32821497120921,11.11111111111111,18.73015873015873,6.71785028790787,13.257575757575758,55.6,7.2,False,True
Tesla,2020,24.6,2.0,44.2,20.8,4.5,-42.85714285714286,-21.904761904761905,-15.163147792706333,-19.06614785992218,-23.728813559322038,47.05882352941176,8.130081300813007,18.29268292682927,4.524886877828054,8.547008547008545,36.63333333333333,3.6666666666666665,False,True
Tesla,2019,21.0,0.9,40.5,19.5,3.1,-55.00000000000001,-14.634146341463417,-8.371040723981904,-6.25,-31.11111111111111,48.148148148148145,4.285714285714286,14.761904761904763,2.2222222222222223,4.285714285714286,25.7,2.1333333333333333,False,True
Tesla,2018,19.2,0.4,35.1,18.2,2.5,-55.55555555555556,-8.571428571428575,-13.33333333333333,-6.666666666666665,-19.354838709677423,51.85185185185185,2.0833333333333335,13.020833333333334,1.1396011396011396,2.366863905325444,21.599999999999998,1.0999999999999999,False,True
Tesla,2017,17.8,-0.2,32.0,16.0,2.0,-150.0,-7.2916666666666625,-8.83190883190883,-12.08791208791209,-19.999999999999996,50.0,-1.1235955056179776,11.235955056179774,-0.625,-1.25,19.333333333333332,0.3666666666666667,False,True
Apple,2023,394.3,99.8,352.8,267.5,104.0,,,,,,75.8219954648526,25.310677149378648,26.37585594724829,28.287981859410426,116.99882766705743,,,False,False
Apple,2022,365.8,94.7,351.0,283.3,122.2,-5.110220440881763,-7.227998985544004,-0.5102040816326592,5.906542056074771,17.500000000000004,80.71225071225071,25.888463641334063,33.406232914160746,26.980056980056982,139.88183161004434,,,False,False
Apple,2021,325.4,86.8,351.0,287.9,104.0,-8.342133051742351,-11.044286495352662,0.0,1.6237204376985392,-14.893617021276595,82.02279202279202,26.67486170866626,31.960663798401967,24.729344729344728,137.55942947702056,361.8333333333333,93.76666666666667,False,False
Apple,2020,274.5,57.4,323.8,258.5,80.5,-33.87096774193549,-15.642286416717877,-7.749287749287747,-10.211879124696067,-22.596153846153843,79.83323038912908,20.910746812386154,29.326047358834245,17.726991970352067,87.90199081163857,321.90000000000003,79.63333333333333,False,True
Apple,2019,260.1,55.3,338.5,248.0,69.4,-3.658536585365857,-5.245901639344252,4.5398394070413906,-4.061895551257255,-13.788819875776392,73.26440177252584,21.261053440984234,26.682045367166474,16.336779911373707,61.1049723756906,286.6666666666667,66.5,False,False
Apple,2018,250.3,53.0,310.7,230.5,65.8,-4.159132007233268,-3.7677816224529037,-8.212703101920237,-7.056451612903225,-5.187319884726238,74.18731895719344,21.174590491410306,26.28845385537355,17.0582555519794,66.0847880299252,261.6333333333334,55.23333333333333,False,False
Apple,2017,229.2,48.4,300.2,222.3,60.4,-8.679245283018865,-8.429884139033172,-3.3794657225619584,-3.5574837310195173,-8.206686930091179,74.05063291139241,21.11692844677138,26.352530541012214,16.122584943371084,62.13093709884468,246.53333333333333,52.23333333333333,False,False
Amazon,2023,534.3,50.9,460.2,380.0,61.7,,,,,,82.57279443720121,9.526483249110987,11.547819577016659,11.060408518035636,63.46633416458853,,,False,False
Amazon,2022,513.9,40.9,430.1,370.5,57.0,-19.646365422396862,-3.8180797304884884,-6.540634506736199,-2.500000000000002,-7.617504051863866,86.14275749825622,7.958746837906208,11.091652072387625,9.509416414787259,68.62416107382548,,,False,True
Amazon,2021,469.8,33.4,410.5,350.0,54.6,-18.337408312958438,-8.581436077057791,-4.557079748895609,-5.533063427800267,-4.210526315789476,85.26187576126675,7.109408258833545,11.621966794380588,8.136419001218027,55.20661157024793,506.0,41.73333333333333,False,True
Amazon,2020,386.1,21.3,360.4,320.5,48.2,-36.22754491017963,-17.816091954022983,-12.204628501827042,-8.42857142857143,-11.721611721611714,88.92896781354051,5.516705516705517,12.483812483812484,5.9100998890122085,53.383458646616575,456.59999999999997,31.866666666666664,False,True
Amazon,2019,280.5,11.6,310.1,270.4,35.4,-45.539906103286384,-27.350427350427353,-13.956714761376233,-15.631825273010925,-26.55601659751038,87.19767816833279,4.135472370766488,12.620320855614972,3.740728797162205,29.219143576826163,378.8,22.099999999999998,False,True
Amazon,2018,232.9,10.1,290.0,250.3,30.0,-12.93103448275862,-16.96969696969697,-6.481780070944865,-7.433431952662706,-15.254237288135586,86.31034482758622,4.33662516101331,12.881064834693001,3.482758620689655,25.440806045340057,299.83333333333337,14.333333333333334,False,True
Amazon,2017,177.9,3.0,250.5,220.0,25.0,-70.29702970297029,-23.6152855302705,-13.620689655172413,-12.105473431881741,-16.666666666666664,87.82435129740519,1.6863406408094435,14.05283867341203,1.1976047904191618,9.836065573770492,230.43333333333337,8.233333333333333,False,True
